candidate,split_mode,condition,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,participant_mean_mae_p90,participant_mean_mae_p95,worst_30_n_participants,worst_30_mean_mae,retained_70_n_participants,retained_70_mean_mae,tail_definition
personal_profile_code32_no_support,random_disjoint,ppg_permuted_2,MIMIC,1011,40440,12.39121913909912,6.346098899841309,9.368659973144531,15.6431884765625,8.172632217407227,-0.0974422618746757,-0.3948468565940857,14.75377082824707,17.193284034729004,304,14.38116455078125,707,7.213352680206299,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,ppg_permuted_2,VitalDB,1040,41600,14.205968856811523,7.632265567779541,10.919116020202637,18.01206398010254,9.709442138671877,-0.358704149723053,-0.0312504097819328,15.565668392181395,17.690892410278316,312,15.350141525268556,728,9.020106315612791,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,personal_state_swapped,Overall,2051,82040,14.601667404174805,7.914583206176758,11.25812530517578,16.842002868652344,9.156726837158203,0.6231834888458252,0.2604470551013946,19.26644325256348,22.50612068176269,616,18.34341812133789,1435,8.216633796691895,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,personal_state_swapped,MIMIC,1011,40440,14.572813987731934,7.688013076782227,11.130413055419922,16.96636390686035,9.027057647705078,0.5939162373542786,0.1093617752194404,18.204015731811523,21.21655941009521,304,17.839452743530273,707,8.245621681213379,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,personal_state_swapped,VitalDB,1040,41600,14.629715919494627,8.134836196899414,11.382275581359863,16.72110939025879,9.282780647277832,0.6516345143318176,0.4073192477226257,19.89093971252441,23.22814512252807,312,18.82503318786621,728,8.192523956298828,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,personal_state_zero,Overall,2051,82040,10.752279281616213,5.932461261749268,8.342370986938477,12.839329719543455,7.091044425964356,0.4045022130012512,0.1311401724815368,13.20791244506836,15.485379695892334,616,12.86862850189209,1435,6.3993916511535645,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,personal_state_zero,MIMIC,1011,40440,11.189791679382324,6.0932793617248535,8.641535758972168,13.42202854156494,7.335970878601074,1.7980830669403076,1.103228211402893,13.692724227905272,16.078770637512207,304,13.339468955993652,707,6.621490001678467,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,personal_state_zero,VitalDB,1040,41600,10.3269681930542,5.776127815246582,8.051547050476074,12.27287769317627,6.85294771194458,-0.9502192735671996,-0.8138415813446045,12.704820823669436,14.808349752426146,312,12.366719245910645,728,6.2021894454956055,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,train_bp_mean,Overall,2051,82040,10.4163179397583,5.5423264503479,7.9793219566345215,13.036792755126951,7.041491985321045,0.1135265231132507,0.0458869412541389,11.882680892944336,13.458054065704346,616,11.590195655822754,1435,6.429288864135742,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
personal_profile_code32_no_support,random_disjoint,train_bp_mean,MIMIC,1011,40440,9.97267246246338,5.220253944396973,7.596463203430176,12.387171745300291,6.627371311187744,0.0842943489551544,-0.0190467406064271,11.95863914489746,13.719141960144045,304,11.534255027770996,707,5.903268337249756,"oracle diagnostic: participant mean MAE descending, subject_uid ascending tie-break, first ceil(0.30*N)"
