split_mode,candidate,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
random_disjoint,personal_profile_code32_no_support,MIMIC,ppg_permuted_1,DBP,6.387320832281745,0.5131970321838288,-0.3948468556861613,9.268428197449392,54.70326409495549,80.12363996043521,90.96191889218596,FAIL*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,VitalDB,ppg_permuted_1,SBP,14.260359838742476,-0.0229979658292351,-0.3587046445333041,19.157057079891583,26.11298076923077,47.51201923076923,63.18269230769232,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,VitalDB,ppg_permuted_1,DBP,7.661757254462976,0.2933316247229161,-0.0312533372640609,10.2993542643593,44.26442307692307,72.13461538461539,87.01442307692308,FAIL*,FAIL (Grade C)*
random_disjoint,personal_profile_code32_no_support,Overall,ppg_permuted_2,SBP,13.311423989774424,0.2609339994822041,-0.2299202605144737,18.192921168501428,28.665285226718677,51.06289614822038,66.70892247684057,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,ppg_permuted_2,DBP,6.998274958557992,0.4189650981971365,-0.21047810634016,9.775174103985398,49.72940029254023,76.45538761579718,88.99804973183812,FAIL*,FAIL (Grade C)*
random_disjoint,personal_profile_code32_no_support,MIMIC,ppg_permuted_2,SBP,12.391219457556538,0.4309471672791319,-0.0974422698204878,17.168370351636398,31.402077151335316,54.418892185954505,70.19287833827893,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,MIMIC,ppg_permuted_2,DBP,6.346098551528508,0.5206420773371301,-0.3948468556861613,9.197150960269411,55.00741839762612,80.68991097922849,91.19188921859543,FAIL*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,VitalDB,ppg_permuted_2,SBP,14.205968972536231,-0.020721435544587,-0.3587041533910311,19.13572214039689,26.00480769230769,47.80048076923077,63.32211538461539,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,VitalDB,ppg_permuted_2,DBP,7.632265677314538,0.2928313247539924,-0.0312504086586145,10.302999478371676,44.59855769230769,72.3389423076923,86.86538461538461,FAIL*,FAIL (Grade C)*
random_disjoint,personal_profile_code32_no_support,Overall,personal_state_swapped,SBP,14.601667587702476,0.2268938098426904,0.6231834292121191,18.598221218522028,22.17942467089225,42.50365675280351,59.72574353973671,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,personal_state_swapped,DBP,7.914583582066722,0.3630913491640336,0.2604470347381696,10.233448492544442,40.07922964407606,69.7830326669917,86.71014139444173,FAIL*,FAIL (Grade C)*
random_disjoint,personal_profile_code32_no_support,MIMIC,personal_state_swapped,SBP,14.572814348732091,0.3275126975468628,0.5939163007085331,18.65442268902882,22.166172106824924,42.99208704253215,60.225024727992086,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,MIMIC,personal_state_swapped,DBP,7.688012733987719,0.4157531025203591,0.109361810712503,10.162400074866293,42.119188921859546,71.87438180019782,87.58654797230466,FAIL*,FAIL (Grade C)*
random_disjoint,personal_profile_code32_no_support,VitalDB,personal_state_swapped,SBP,14.62971626520157,0.0406232523867352,0.6516344550939707,18.54360358783666,22.192307692307693,42.02884615384615,59.24038461538461,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,VitalDB,personal_state_swapped,DBP,8.134836589189677,0.2921381956610683,0.407319305401582,10.300044036673444,38.09615384615385,67.75,85.85817307692307,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,personal_state_zero,SBP,10.75228001135608,0.5698395773690481,0.4045021991739036,13.874784424079207,30.27547537786446,56.00438810336421,74.40151145782545,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,personal_state_zero,DBP,5.932461695087532,0.6327526656379583,0.1311402070005018,7.772156831705578,51.74305216967333,82.69746465138957,94.87445148707948,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,MIMIC,personal_state_zero,SBP,11.189791258860058,0.592648644566248,1.7980830761374635,14.414224138021188,29.809594460929773,54.62166172106825,72.72255192878339,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,MIMIC,personal_state_zero,DBP,6.093279686125049,0.6247116563893536,1.103228251610972,8.070214763780427,51.59495548961425,81.9263105835806,93.97378832838773,FAIL*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,VitalDB,personal_state_zero,SBP,10.326968596715194,0.5127480700926341,-0.9502192110281724,13.189250087463543,30.728365384615387,57.348557692307686,76.03365384615385,FAIL*,FAIL (Grade D)*
