Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
QGHuber-weight2 | event soft fusion,VitalDB,DBP,5.859030138184782,0.5554484679301597,-0.141345656036276,7.897136133884758,53.459673865138825,82.7368884971353,94.56588805641252,PASS*,Grade B*
QGHuber-weight4 standalone,Overall,SBP,11.93652572494076,0.4998226765750071,-1.9071341707193443,15.45231180476113,28.01166428488664,52.241126260090375,70.06585299911166,FAIL*,Grade D*
QGHuber-weight4 standalone,Overall,DBP,6.940388837210029,0.4685881583289264,-0.7091835604947566,9.571199326715824,47.914333165965004,77.0306284036924,90.3673091035495,FAIL*,Grade C*
QGHuber-weight4 standalone,MIMIC,SBP,12.378931495141424,0.49462928048673394,-2.315536156439341,15.904890656431844,26.72428716274699,50.50696144620026,68.42248435838465,FAIL*,Grade D*
QGHuber-weight4 standalone,MIMIC,DBP,7.220377454855093,0.45242864910191716,-0.6534599880172564,9.969170838195657,46.506911986546974,75.4964512698766,89.33278927714716,FAIL*,Grade C*
QGHuber-weight4 standalone,VitalDB,SBP,10.359658194786128,0.4931857554495107,-0.4514663790437607,13.619328533088398,32.60026443367122,58.42221242838255,75.92331423534596,FAIL*,Grade D*
QGHuber-weight4 standalone,VitalDB,DBP,5.942425000126428,0.5391865423705543,-0.9077991709198495,7.990160763237257,52.930806522697225,82.49889819303658,94.05464962538564,PASS*,Grade B*
QGHuber-weight4 | event hard route,Overall,SBP,11.711159118573372,0.5133732352642139,-1.3970383535848285,15.293531880712536,29.06705032636824,53.29747788806921,70.8808080027809,FAIL*,Grade D*
QGHuber-weight4 | event hard route,Overall,DBP,6.932106715706187,0.47085495849421555,-0.5927878735234989,9.558582129865817,47.691282685102934,77.40527596462091,90.58166930593643,FAIL*,Grade C*
QGHuber-weight4 | event hard route,MIMIC,SBP,12.128003650288596,0.5085230917219226,-1.7568859281751468,15.752416267406327,28.03744095753889,51.77189207903653,69.17179810569529,FAIL*,Grade D*
QGHuber-weight4 | event hard route,MIMIC,DBP,7.215340265579274,0.452961029591189,-0.7142080479690353,9.960132559554745,46.28310705541954,75.9922842940871,89.48982367633603,FAIL*,Grade C*
QGHuber-weight4 | event hard route,VitalDB,SBP,10.22539954792828,0.5059088314944955,-0.11443312011557352,13.454191936381834,32.736888497135304,58.73512560599383,76.97223446452182,FAIL*,Grade D*
QGHuber-weight4 | event hard route,VitalDB,DBP,5.922576961962858,0.5495015209119277,-0.1600097691555704,7.949445289456275,52.71044513001322,82.44160423093874,94.47333627148524,PASS*,Grade B*
QGHuber-weight4 | participant threshold route,Overall,SBP,11.801979440723931,0.5100256098765343,-1.5637779366232918,15.33038992663998,28.47707697655556,52.60998030203545,70.42505117608435,FAIL*,Grade D*
QGHuber-weight4 | participant threshold route,Overall,DBP,6.97071918835853,0.4639164215183419,-0.6281016627043516,9.619046200620938,47.71349117453941,77.0982194584991,90.25047313738365,FAIL*,Grade C*
QGHuber-weight4 | participant threshold route,MIMIC,SBP,12.25309575178015,0.5038415119947748,-1.9600442814232053,15.804320249382133,27.247322996265794,50.83092217523555,68.59682963622426,FAIL*,Grade D*
QGHuber-weight4 | participant threshold route,MIMIC,DBP,7.268699178179892,0.44465495548740674,-0.7333388484797575,10.034469586384816,46.25837722877563,75.55951232781858,89.09414645003338,FAIL*,Grade C*
QGHuber-weight4 | participant threshold route,VitalDB,SBP,10.194064917129376,0.5089775433742125,-0.15136522752905585,13.411977067814737,32.860290877038345,58.95107977082416,76.94138386954606,FAIL*,Grade D*
QGHuber-weight4 | participant threshold route,VitalDB,DBP,5.908628677260566,0.5488394598295545,-0.25300460838966826,7.95287235957086,52.899955927721464,82.5826355222565,94.37197003085059,PASS*,Grade B*
QGHuber-weight4 | participant top30 route,Overall,SBP,11.75255603531707,0.5122885391527673,-1.492977389712483,15.301651799075602,28.815997837086243,52.934417365107564,70.63844579197405,FAIL*,Grade D*
QGHuber-weight4 | participant top30 route,Overall,DBP,6.99112770586963,0.46194335388682306,-0.642827629126779,9.635835728734177,47.49140628017458,76.95048472442161,90.23309258043336,FAIL*,Grade C*
QGHuber-weight4 | participant top30 route,MIMIC,SBP,12.181984629620311,0.5069708445543244,-1.8671668919369124,15.764910471053534,27.72213566782897,51.29831589880555,68.90224299527661,FAIL*,Grade D*
QGHuber-weight4 | participant top30 route,MIMIC,DBP,7.292326204966086,0.4424027572512189,-0.7468343941291639,10.053911422777214,45.99376808368573,75.37651161065361,89.07312609738605,FAIL*,Grade C*
QGHuber-weight4 | participant top30 route,VitalDB,SBP,10.221943072087441,0.5070788153420703,-0.15925320271827828,13.437795469856866,32.7148523578669,58.7659762009696,76.82679594535038,FAIL*,Grade D*
QGHuber-weight4 | participant top30 route,VitalDB,DBP,5.917565457481495,0.5481430753850981,-0.2721161653628797,7.958383464411118,52.82944028206258,82.5605993829881,94.36756280299691,PASS*,Grade B*
QGHuber-weight4 | oracle true-tail route,Overall,SBP,11.610434869014302,0.5179424120716373,-1.4477528287022632,15.216221297346507,29.62033138928585,53.86524274844541,71.38001622185315,FAIL*,Grade D*
QGHuber-weight4 | oracle true-tail route,Overall,DBP,6.895897757463285,0.47501692850310673,-0.5665051980291373,9.52237146847246,47.92398903093739,77.54335483372601,90.62512069831216,FAIL*,Grade C*
QGHuber-weight4 | oracle true-tail route,MIMIC,SBP,12.000328389804158,0.5141178583536266,-1.8030167693869161,15.656134631793064,28.69278136360264,52.48534757771348,69.82466552909464,FAIL*,Grade D*
QGHuber-weight4 | oracle true-tail route,MIMIC,DBP,7.170812304863004,0.45904322675136167,-0.6420305096042125,9.9092617295989,46.519276899868935,76.06276430002225,89.6147093008878,FAIL*,Grade C*
QGHuber-weight4 | oracle true-tail route,VitalDB,SBP,10.220736825807654,0.5056744166096236,-0.18148504822934025,13.4566461041377,32.92639929484354,58.78360511238431,76.92375495813134,FAIL*,Grade D*
QGHuber-weight4 | oracle true-tail route,VitalDB,DBP,5.9160194363348175,0.5448060762448681,-0.2973102201392021,7.986852185632156,52.930806522697225,82.82062582635523,94.22653151167916,PASS*,Grade B*
QGHuber-weight4 | event soft fusion,Overall,SBP,11.658163154742,0.5165443569380396,-1.469011800723338,15.236434967612118,29.2620987988104,53.551427136842925,71.20427947935576,FAIL*,Grade D*
QGHuber-weight4 | event soft fusion,Overall,DBP,6.830072225564183,0.48417694853762705,-0.6396717354664876,9.4339588184215,48.30732687034104,77.8697230697926,90.82306593024603,FAIL*,Grade C*
QGHuber-weight4 | event soft fusion,MIMIC,SBP,12.06766275221357,0.5118336513282633,-1.8151001307589938,15.691986377276137,28.24146202735119,52.045156663451785,69.54892796201499,FAIL*,Grade D*
QGHuber-weight4 | event soft fusion,MIMIC,DBP,7.100473269674419,0.4681558555732459,-0.7294515214999913,9.81898767388295,46.905062195514006,76.48069837030442,89.77421668274106,FAIL*,Grade C*
QGHuber-weight4 | event soft fusion,VitalDB,SBP,10.198583143903946,0.5085923595557043,-0.23544866263150793,13.416025081130808,32.899955927721464,58.92022917584839,77.10445130013221,FAIL*,Grade D*
QGHuber-weight4 | event soft fusion,VitalDB,DBP,5.866281390774797,0.5542582271371451,-0.31966951353287915,7.902504298127734,53.305420890260024,82.82062582635523,94.56148082855884,PASS*,Grade B*
QGHuber-hard-only standalone,Overall,SBP,12.513596205468074,0.45832594008771554,-0.5220430680679734,16.194135172798966,26.04669576300645,49.57321076822062,67.95508091614848,FAIL*,Grade D*
QGHuber-hard-only standalone,Overall,DBP,7.173493335165176,0.4389386898755955,-0.6670443809192208,9.838956189047735,46.27959522614036,75.74543277586805,89.84492680854352,FAIL*,Grade C*
QGHuber-hard-only standalone,MIMIC,SBP,12.879640141170693,0.4566758675015391,-1.0389923406825898,16.632745441431343,25.177436506170093,48.475406187402626,66.79402527388282,FAIL*,Grade D*
QGHuber-hard-only standalone,MIMIC,DBP,7.44239934707639,0.4225447277511498,-0.7533968292169537,10.23186268478753,45.15171748646042,74.3032371343077,88.79615203897421,FAIL*,Grade C*
QGHuber-hard-only standalone,VitalDB,SBP,11.208905273074356,0.43137518793465013,1.3205199761556707,14.373331328764975,29.144997796386075,53.48611723226091,72.09343323049802,FAIL*,Grade D*
QGHuber-hard-only standalone,VitalDB,DBP,6.215031245817115,0.5103872020210922,-0.3592582238618894,8.281255774807146,50.29969149405025,80.88585279858968,93.58307624504188,FAIL*,Grade B*
QGHuber-hard-only | event hard route,Overall,SBP,11.773024260848134,0.5044666356780494,-0.9862450558452939,15.465695932414075,29.060291220887567,53.23664593874319,70.84701247537754,FAIL*,Grade D*
QGHuber-hard-only | event hard route,Overall,DBP,6.915932568221586,0.47097721997673325,-0.7093638238180858,9.549528754862113,47.830327140705265,77.5559074581901,90.7091267235719,FAIL*,Grade C*
