Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
patch_transformer_wide | QGH,Overall,DBP,7.090025347637095,0.44211023937981564,-0.6074908773309046,9.77271993627127,46.45081592824814,76.26230120832122,90.29086907777271,FAIL*,FAIL (Grade C)*
patch_transformer_highres | Population,Overall,SBP,15.717148644771965,0.19499461767464688,-1.9080326302889035,19.93373728879219,20.344226217663913,39.67425154673421,56.21704106631233,FAIL*,FAIL (Grade D)*
patch_transformer_highres | Population,Overall,DBP,9.239472770241951,0.15626434430411806,0.8375604000948981,12.012372881156294,34.308433334717435,62.22335257235394,81.37067641074617,FAIL*,FAIL (Grade D)*
patch_transformer_highres | QGH,Overall,SBP,12.826389208335474,0.411006299439317,-1.815272512232952,17.03226697904341,27.999003446414484,50.70693019972595,67.57256155794545,FAIL*,FAIL (Grade D)*
patch_transformer_highres | QGH,Overall,DBP,7.03433951370535,0.44486493497824275,-0.9761767057293906,9.71847570477412,46.847361209151686,76.52389652451937,90.39675289623386,FAIL*,FAIL (Grade C)*
patch_transformer_longpatch | Population,Overall,SBP,15.982204294938631,0.14783207167665535,-4.461439973531752,20.114242939376474,20.53730847485778,40.050035294606154,56.60320558070008,FAIL*,FAIL (Grade D)*
patch_transformer_longpatch | Population,Overall,DBP,9.1705782475888,0.16175014329959514,-0.023650391244999194,12.002304188935831,34.29701449155005,63.43686417805091,82.08279699373001,FAIL*,FAIL (Grade D)*
patch_transformer_longpatch | QGH,Overall,SBP,13.246153556504138,0.3843742540566537,-0.907456699704633,17.48816766061923,26.579952663704688,48.93597143213055,65.95316198148072,FAIL*,FAIL (Grade D)*
patch_transformer_longpatch | QGH,Overall,DBP,7.120817483815872,0.4333060193486037,-0.9183193732712874,9.825722239690405,46.690611634763115,76.17198853963376,89.94311339949343,FAIL*,FAIL (Grade C)*
conformer | Population,Overall,SBP,15.702904156856441,0.18093706801246257,-2.329803379267949,20.06411987606423,21.089565253498318,40.304364074243246,56.62915749698958,FAIL*,FAIL (Grade D)*
conformer | Population,Overall,DBP,9.191384752994336,0.16868624057271042,0.7860570720400974,11.926692039276796,34.01465764232031,62.65726861271437,81.83054436739609,FAIL*,FAIL (Grade D)*
conformer | QGH,Overall,SBP,13.072590966597913,0.3988081903252052,-1.8208995363240246,17.209121381686586,27.1124859859652,49.343935556201465,66.42133455134326,FAIL*,FAIL (Grade D)*
