candidate,runner_random,backbone_random,split_mode_random,seed_random,view,n_participants_random,n_events_random,sbp_mae_random,dbp_mae_random,mean_mae_random,sbp_bias_random,dbp_bias_random,worst_30_mean_mae_random,retained_70_mean_mae_random,runner_chronological,backbone_chronological,split_mode_chronological,seed_chronological,n_participants_chronological,n_events_chronological,sbp_mae_chronological,dbp_mae_chronological,mean_mae_chronological,sbp_bias_chronological,dbp_bias_chronological,worst_30_mean_mae_chronological,retained_70_mean_mae_chronological,mean_mae_gain_random,mean_mae_gain_chronological,robust_mean_mae,passes_robust_gate
lora_attention_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.909082174301148,2.187755584716797,3.0484189987182617,0.09160678088665,-0.0239428952336311,4.504079341888428,2.4235498905181885,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.906990051269531,2.709458351135254,3.8082242012023926,0.0048932316713035,-0.0887001380324363,7.078166961669922,2.404541492462158,-0.0031416416168212,0.0645227432250972,3.428321599960327,False
lora_film_multi_event_reliability,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.910716772079468,2.1905691623687744,3.050642728805542,-0.0892386734485626,-0.0966223329305648,4.490083694458008,2.432736396789551,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.908315181732178,2.7085914611816406,3.808453321456909,-0.0698335021734237,-0.0600741207599639,7.033247470855713,2.4241509437561035,-0.0053653717041015,0.0642936229705806,3.4295480251312256,False
lora_all_six,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.934680223464966,2.1916449069976807,3.0631625652313232,0.1739285588264465,-0.1118139699101448,4.503042221069336,2.445068120956421,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.903936862945557,2.691740036010742,3.797838687896729,-0.1608922034502029,-0.1137663647532463,7.031643390655518,2.4096686840057373,-0.0178852081298828,0.0749082565307608,3.430500626564026,False
lora_multi_event_reliability,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.920711517333984,2.189525842666626,3.0551183223724365,-0.2387473136186599,-0.1749215573072433,4.497513771057129,2.435944080352783,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.8949713706970215,2.720909833908081,3.8079402446746826,-0.0051515116356313,-0.1582637131214141,7.007266998291016,2.434570550918579,-0.009840965270996,0.0648066997528071,3.43152928352356,False
lora_film_attention,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.9713172912597656,2.2197580337524414,3.0955374240875244,-0.0153694339096546,-0.2138167172670364,4.568719387054443,2.4631471633911133,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.8924641609191895,2.6737372875213623,3.783100843429565,-0.2195381373167038,-0.0688222423195838,6.993476390838623,2.4049885272979736,-0.0502600669860839,0.0896461009979248,3.439319133758545,False
lora,combination_residual,resnet_small,random_disjoint,20260902,Overall,2051,82040,3.906237363815308,2.184317111968994,3.0452773571014404,0.03297009319067,-0.0508519411087036,4.494209289550781,2.4232966899871826,combination_residual,resnet_small,chronological_blocked,20260902,2051,82040,4.966402530670166,2.779090642929077,3.87274694442749,-0.0160468593239784,-0.1062769517302513,7.097336769104004,2.488532781600952,0.0,0.0,3.4590121507644653,True
lora_film_reliability,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.515300750732422,1.9784581661224363,2.7468795776367188,0.0185418054461479,0.0448905117809772,3.896481990814209,2.254192590713501,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.095149040222168,2.869663953781128,3.9824068546295166,0.2040537595748901,0.1477946043014526,7.074685096740723,2.65714430809021,0.031527042388916,0.0742952823638916,3.3646432161331177,False
lora_attention,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.5498740673065186,1.9982144832611084,2.7740445137023926,-0.0114139998331666,0.0572221204638481,3.9235198497772217,2.28141188621521,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.04020357131958,2.890237808227539,3.965220212936402,0.0402867384254932,-0.3004410564899444,7.013988018035889,2.6586060523986816,0.0043621063232421,0.0914819240570063,3.369632363319397,False
lora_film_attention_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.545706987380981,1.9920459985733032,2.768876552581787,-0.2046384960412979,-0.0820671394467353,3.937041521072388,2.2682344913482666,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.0813751220703125,2.863161087036133,3.9722683429718018,0.2906282544136047,0.1225132942199707,7.01615571975708,2.667745590209961,0.0095300674438476,0.0844337940216064,3.3705724477767944,False
lora_reliability,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.542538642883301,1.9988839626312256,2.7707111835479736,-0.2028294801712036,0.0377579666674137,3.888695240020752,2.2915754318237305,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.0491623878479,2.89258337020874,3.9708731174468994,0.1133981719613075,-0.1430876553058624,7.012763977050781,2.6672048568725586,0.0076954364776611,0.0858290195465087,3.3707921504974365,False
lora_film_multi_event,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.5261621475219727,1.9860100746154783,2.7560861110687256,-0.227498173713684,-0.0057813669554889,3.890190362930298,2.2700412273406982,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.09028434753418,2.889460563659668,3.989872455596924,-0.0494191236793994,-0.1198614984750747,7.082119464874268,2.664623498916626,0.0223205089569091,0.0668296813964843,3.3729792833328247,False
lora_film_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.537076950073242,1.9902033805847168,2.7636399269104004,-0.2542748749256134,-0.0546034723520278,3.904088020324707,2.274876832962036,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.114614963531494,2.8896615505218506,4.002138614654541,-0.0674648135900497,-0.1070813238620758,7.111500263214111,2.6695549488067627,0.0147666931152343,0.0545635223388671,3.3828892707824707,False
lora_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.505952835083008,2.000403642654419,2.753178358078003,-0.0472005531191825,-0.0980036109685897,3.907717943191528,2.258375406265259,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.13795804977417,2.897188425064087,4.017573356628418,0.2433544993400573,0.0304130855947732,7.137203693389893,2.680588960647583,0.0252282619476318,0.0391287803649902,3.3853758573532104,False
lora_attention_calibration_relative,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.5337204933166504,1.9957810640335083,2.7647507190704346,-0.0146038206294178,0.0209385436028242,3.916053295135498,2.271335363388061,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.1138458251953125,2.899186372756958,4.006515979766846,-0.0055569135583937,-0.0648811608552932,7.168051719665527,2.6515724658966064,0.0136559009552001,0.0501861572265625,3.38563334941864,False
lora_film,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.54061222076416,1.9956190586090088,2.768115758895874,-0.2951881289482116,-0.1487929373979568,3.897081136703491,2.284273386001587,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.12483024597168,2.890321493148804,4.007575988769531,-0.1921421587467193,-0.0780155584216117,7.126147270202637,2.6710455417633057,0.0102908611297607,0.0491261482238769,3.387845873832702,False
lora_multi_event_reliability,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.55255126953125,2.007935047149658,2.780243158340454,-0.3082968592643738,-0.0963246151804924,3.90299916267395,2.2990617752075195,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.119921684265137,2.904458999633789,4.012190341949463,0.0233770012855529,-0.0839249715209007,7.109691143035889,2.684690475463867,-0.0018365383148193,0.0445117950439453,3.3962167501449585,False
lora_multi_event,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.563585042953491,2.01555609703064,2.789570569992065,-0.2308925688266754,-0.2259370982646942,3.934582948684693,2.2988510131835938,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.121585845947266,2.8959734439849854,4.008779525756836,-0.0125450938940048,-0.1376992613077163,7.160096168518066,2.6582157611846924,-0.0111639499664302,0.0479226112365722,3.3991750478744507,False
lora_film_multi_event_reliability,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.552522659301758,2.005329132080078,2.778925895690918,-0.1923060268163681,-0.0688987374305725,3.921476364135742,2.2892613410949707,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.145086765289307,2.9007699489593506,4.022928714752197,-0.0838918164372444,-0.0166107770055532,7.161555290222168,2.677802562713623,-0.0005192756652832,0.0337734222412109,3.4009273052215576,False
lora_all_six,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.572700500488281,2.008307933807373,2.7905044555664062,0.1485275477170944,-0.0354810580611228,3.9399664402008057,2.297877788543701,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.147904872894287,2.8847618103027344,4.01633358001709,-0.0085777062922716,0.0141089223325252,7.155844688415527,2.6708285808563232,-0.0120978355407714,0.0403685569763183,3.403419017791748,False
lora_film_attention,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.602478504180908,2.0465164184570312,2.8244974613189697,-0.0150495236739516,-0.0861496180295944,3.9967002868652335,2.322124719619751,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.123692035675049,2.867602825164795,3.995646715164185,-0.1713876128196716,-0.0325143970549106,7.115630149841309,2.6585118770599365,-0.0460908412933349,0.0610554218292231,3.410072088241577,False
lora,combination_residual,resnet_small,random_disjoint,20260902,VitalDB,1040,41600,3.551359176635742,2.005454063415528,2.7784066200256348,-0.0883256644010543,-0.018117818981409,3.93445086479187,2.282958745956421,combination_residual,resnet_small,chronological_blocked,20260902,1040,41600,5.146539688110352,2.966864585876465,4.056702136993408,-0.0288938451558351,-0.0944598242640495,7.127880573272705,2.740483045578003,0.0,0.0,3.417554378509521,True
