Setting,Scope,scoring_only_group,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,delta_mean_mae_vs_frozen_lora,delta_sbp_mae_vs_frozen_lora,delta_dbp_mae_vs_frozen_lora,split_mode
E3_zero_reliability,MIMIC,SBP_train_median_deviation_>20,805,4976,7.174911895991694,3.448996510903777,5.311954203447735,-0.4028553136708019,-0.5436217762476065,-0.2620888510939965,random_disjoint
E3_zero_reliability,VitalDB,SBP_train_median_deviation_>20,939,6030,4.430893695639367,2.3223681828740386,3.3766309392567027,-0.3616152114226887,-0.4809749810616655,-0.2422554417837119,random_disjoint
E3_zero_reliability,Overall,DBP_train_median_deviation_0-10,2051,69707,3.224000078913172,1.7005372438979354,2.4622686614055533,-0.2132203473343015,-0.2781370649446493,-0.1483036297239528,random_disjoint
E3_zero_reliability,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.572417476190335,1.8077667593423568,2.690092117766346,-0.1925340219766176,-0.2495581454494519,-0.1355098985037832,random_disjoint
E3_zero_reliability,VitalDB,DBP_train_median_deviation_0-10,1040,34478,2.885298166752391,1.5962977822495603,2.240797974500976,-0.2333298424656646,-0.3059190722616156,-0.1607406126697137,random_disjoint
E3_zero_reliability,Overall,DBP_train_median_deviation_10-20,1762,10460,4.7376980599554015,2.982319679715315,3.860008869835358,-0.3507614822210705,-0.4192856051115301,-0.2822373593306109,random_disjoint
E3_zero_reliability,MIMIC,DBP_train_median_deviation_10-20,791,4282,5.867542754502705,3.728470307149217,4.798006530825961,-0.3775009487010647,-0.4238492961253346,-0.3311526012767944,random_disjoint
E3_zero_reliability,VitalDB,DBP_train_median_deviation_10-20,971,6178,3.817299343799978,2.3744873972228158,3.095893370511397,-0.3289788684356161,-0.4155679124318991,-0.242389824439333,random_disjoint
E3_zero_reliability,Overall,DBP_train_median_deviation_>20,721,1873,7.962542489057585,7.503136556001625,7.732839522529605,-0.6500615897286144,-0.6707049523949795,-0.6294182270622493,random_disjoint
E3_zero_reliability,MIMIC,DBP_train_median_deviation_>20,319,929,9.807576862941836,10.873988463973056,10.340782663457446,-0.8243576813953144,-0.7102854747153362,-0.9384298880752944,random_disjoint
E3_zero_reliability,VitalDB,DBP_train_median_deviation_>20,402,944,6.498448048089736,4.828256559377529,5.663352303733632,-0.5117520045503134,-0.6392965279666374,-0.3842074811339877,random_disjoint
E3_trained_reliability,Overall,SBP_train_median_deviation_0-10,2051,50195,3.036915091138776,1.7525595901122406,2.3947373406255084,-0.1952194756986838,-0.2389102693750313,-0.1515286820223371,random_disjoint
E3_trained_reliability,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.304115951402596,1.909798847515498,2.606957399459047,-0.1782501673904515,-0.2120381892531941,-0.1444621455277093,random_disjoint
E3_trained_reliability,VitalDB,SBP_train_median_deviation_0-10,1040,24438,2.7771650240938497,1.599704888925035,2.1884349565094423,-0.2117156013713987,-0.2650330318780862,-0.1583981708647115,random_disjoint
E3_trained_reliability,Overall,SBP_train_median_deviation_10-20,2029,20839,3.821347683947044,2.0598848367922957,2.9406162603696697,-0.2618879816067916,-0.3363477420124123,-0.1874282212011713,random_disjoint
E3_trained_reliability,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.417044901742118,2.3094328716510435,3.363238886696581,-0.2531531146526067,-0.3156251957080567,-0.1906810335971576,random_disjoint
E3_trained_reliability,VitalDB,SBP_train_median_deviation_10-20,1038,11132,3.252623268884502,1.8216361830880377,2.53712972598627,-0.2702273391709511,-0.3561319841970136,-0.1843226941448887,random_disjoint
E3_trained_reliability,Overall,SBP_train_median_deviation_>20,1744,11006,5.697484665412086,2.842400180617123,4.269942423014604,-0.3806509237562512,-0.5098916497111414,-0.2514101978013605,random_disjoint
E3_trained_reliability,MIMIC,SBP_train_median_deviation_>20,805,4976,7.174911895991694,3.448996510903777,5.311954203447735,-0.4028553136708019,-0.5436217762476065,-0.2620888510939965,random_disjoint
E3_trained_reliability,VitalDB,SBP_train_median_deviation_>20,939,6030,4.430893695639367,2.3223681828740386,3.3766309392567027,-0.3616152114226887,-0.4809749810616655,-0.2422554417837119,random_disjoint
E3_trained_reliability,Overall,DBP_train_median_deviation_0-10,2051,69707,3.224000078913172,1.7005372438979354,2.4622686614055533,-0.2132203473343015,-0.2781370649446493,-0.1483036297239528,random_disjoint
E3_trained_reliability,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.572417476190335,1.8077667593423568,2.690092117766346,-0.1925340219766176,-0.2495581454494519,-0.1355098985037832,random_disjoint
E3_trained_reliability,VitalDB,DBP_train_median_deviation_0-10,1040,34478,2.885298166752391,1.5962977822495603,2.240797974500976,-0.2333298424656646,-0.3059190722616156,-0.1607406126697137,random_disjoint
E3_trained_reliability,Overall,DBP_train_median_deviation_10-20,1762,10460,4.7376980599554015,2.982319679715315,3.860008869835358,-0.3507614822210705,-0.4192856051115301,-0.2822373593306109,random_disjoint
E3_trained_reliability,MIMIC,DBP_train_median_deviation_10-20,791,4282,5.867542754502705,3.728470307149217,4.798006530825961,-0.3775009487010647,-0.4238492961253346,-0.3311526012767944,random_disjoint
