Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,split_mode
gap300__time_stratum_random_uniform,MIMIC,1011,40440,6.694690998890516,3.504863617917786,5.099777308404151,8.930821302520055,4.867134766004215,-0.0403034725717455,-0.0708204802136746,random_disjoint
gap300__time_stratum_random_uniform,VitalDB,1040,41600,10.317026448066418,5.6105535021195045,7.963789975092961,13.338327703839138,7.329362675933854,0.0996858798540555,0.0921235229418828,random_disjoint
past_gap0__fixed_blend,Overall,2051,82040,3.655274629592896,2.041227102279663,2.8482508659362797,5.083207130432129,2.9875502586364746,0.1065714582800865,-0.0229998808354139,random_disjoint
past_gap0__fixed_blend,MIMIC,1011,40440,3.96378493309021,2.1793932914733887,3.071589231491089,5.5355000495910645,3.2653324604034424,0.0695886090397834,-0.1002218276262283,random_disjoint
past_gap0__fixed_blend,VitalDB,1040,41600,3.3553671836853027,1.9069137573242188,2.63114070892334,4.643526077270508,2.7175135612487797,0.1425230801105499,0.0520687587559223,random_disjoint
past_gap0__trained_blend,Overall,2051,82040,3.655274629592896,2.041227102279663,2.8482508659362797,5.083207130432129,2.9875502586364746,0.1065714582800865,-0.0229998808354139,random_disjoint
past_gap0__trained_blend,MIMIC,1011,40440,3.96378493309021,2.1793932914733887,3.071589231491089,5.5355000495910645,3.2653324604034424,0.0695886090397834,-0.1002218276262283,random_disjoint
past_gap0__trained_blend,VitalDB,1040,41600,3.3553671836853027,1.9069137573242188,2.63114070892334,4.643526077270508,2.7175135612487797,0.1425230801105499,0.0520687587559223,random_disjoint
past_gap0__D0_frozen_lora,Overall,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,5.090222564139503,2.981832033817168,0.0225152574359702,-0.1182625809510936,random_disjoint
past_gap0__D0_frozen_lora,MIMIC,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,5.606288107290894,3.314435249209459,0.0468497080571809,-0.1874385746249341,random_disjoint
past_gap0__D0_frozen_lora,VitalDB,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,4.588547310172142,2.658503331161778,-0.0011406363890721,-0.0510155332546967,random_disjoint
past_gap0__feature_knn,Overall,2051,82040,3.938003788889073,2.196669837495609,3.0673368131923406,5.533098577228516,3.2593641492989467,0.1316161847559307,-0.0025913458099403,random_disjoint
