candidate,view,split_mode,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,reference_mean_mae,gain_vs_reference_mmhg,fixed_blend_mean_mae,gain_vs_fixed_blend_mmhg,v1_trained_blend_mean_mae,gain_vs_v1_trained_blend_mmhg,reference_candidate
E2_bp_state_metric,Overall,random_disjoint,2051,82040,3.4765310287475586,1.9485704898834229,2.7125508785247803,2.876403570175171,0.1638526916503906,2.6475226879119877,-0.0650281906127929,2.6475226879119877,-0.0650281906127929,lora_continued_control
E2_bp_state_metric,MIMIC,random_disjoint,1011,40440,3.845250129699707,2.127264976501465,2.986257553100586,3.1406712532043457,0.1544137001037597,2.927464485168457,-0.0587930679321289,2.927464485168457,-0.0587930679321289,lora_continued_control
E2_bp_state_metric,VitalDB,random_disjoint,1040,41600,3.1180942058563232,1.7748589515686035,2.446476459503174,2.6195056438446045,0.1730291843414306,2.375386953353882,-0.0710895061492919,2.375386953353882,-0.0710895061492919,lora_continued_control
lora_continued_control,Overall,random_disjoint,2051,82040,3.685293674468994,2.067514181137085,2.876403570175171,2.876403570175171,0.0,2.6475226879119877,-0.2288808822631836,2.6475226879119877,-0.2288808822631836,lora_continued_control
lora_continued_control,MIMIC,random_disjoint,1011,40440,4.0379319190979,2.243410587310791,3.1406712532043457,3.1406712532043457,0.0,2.927464485168457,-0.2132067680358886,2.927464485168457,-0.2132067680358886,lora_continued_control
lora_continued_control,VitalDB,random_disjoint,1040,41600,3.3424885272979736,1.896522879600525,2.6195056438446045,2.6195056438446045,0.0,2.375386953353882,-0.2441186904907226,2.375386953353882,-0.2441186904907226,lora_continued_control
D0_frozen_lora,Overall,chronological_blocked,2051,82040,4.777301551608677,2.647466137326676,3.712383844467676,3.712383844467676,0.0,3.796670198440552,0.0842863539728755,3.657138586044312,-0.0552452584233646,D0_frozen_lora
D0_frozen_lora,MIMIC,chronological_blocked,1011,40440,4.511091241921444,2.443512012460937,3.4773016271911907,3.4773016271911907,0.0,3.4997096061706543,0.0224079789794635,3.424546003341675,-0.0527556238495159,D0_frozen_lora
D0_frozen_lora,VitalDB,chronological_blocked,1040,41600,5.036088689198861,2.8457330798644285,3.940910884531645,3.940910884531645,0.0,4.085350513458252,0.1444396289266074,3.883245229721069,-0.0576656548105751,D0_frozen_lora
fixed_blend,Overall,chronological_blocked,2051,82040,4.897695541381836,2.695645332336426,3.796670198440552,3.712383844467676,-0.0842863539728755,3.796670198440552,0.0,3.657138586044312,-0.1395316123962402,D0_frozen_lora
