Setting,BP,MAE,R²,ME,STD,≤5 mmHg (%),≤10 mmHg (%),≤15 mmHg (%),AAMI,BHS,Method,K,MAE seed SD,R² seed SD,ME seed SD,STD seed SD,≤5 mmHg (%) seed SD,≤10 mmHg (%) seed SD,≤15 mmHg (%) seed SD,Participant-macro MAE,Participant-macro MAE seed SD,N seeds,N participants,N query events per seed,Aggregation,Standards scope
M0 Variable-K residual anchor (K=3),SBP,12.918939,0.391257,1.608864,17.093256,27.545672,50.554440,67.236105,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m0,3,0.107928,0.009411,0.554557,0.131011,0.486526,0.448297,0.258006,11.894209,0.144074,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=3),DBP,7.626659,0.357349,0.910492,10.512997,45.634777,73.316017,87.052064,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m0,3,0.108923,0.011237,0.207193,0.084807,0.855753,0.945485,0.302237,6.575886,0.095180,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=5),SBP,12.535593,0.420034,1.285009,16.708553,28.746089,52.046271,68.688927,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m0,5,0.089340,0.009528,0.546225,0.136512,0.240817,0.345294,0.276772,11.317662,0.109685,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M0 Variable-K residual anchor (K=5),DBP,7.366832,0.390123,0.778532,10.250369,47.321077,74.767294,87.794600,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m0,5,0.099426,0.010885,0.190770,0.087040,0.691865,0.763649,0.305817,6.252918,0.086312,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=1),SBP,13.872340,0.307514,1.048830,18.275856,25.560233,47.469391,64.157815,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m1,1,0.224198,0.023191,0.734336,0.307076,0.488890,0.569104,0.439275,13.050830,0.207067,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=1),DBP,8.081717,0.296027,0.652316,11.010246,42.442354,70.448225,85.786567,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=4, D=1)",m1,1,0.162380,0.022902,0.666641,0.135029,0.822801,1.027166,0.683846,7.329258,0.164384,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=2),SBP,13.212529,0.363341,1.492779,17.488520,27.079873,49.675949,66.316674,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m1,2,0.214340,0.021173,0.725175,0.272546,0.524044,0.506517,0.473399,12.253905,0.173619,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=2),DBP,7.814952,0.330953,0.722761,10.729482,44.234869,72.283033,86.561160,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m1,2,0.150391,0.017326,0.629048,0.091615,0.916533,1.140168,0.500791,6.871984,0.150447,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=3),SBP,12.914567,0.389712,1.456023,17.121504,27.606697,50.590746,67.359121,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m1,3,0.229648,0.022445,0.739932,0.301037,0.437941,0.589744,0.679807,11.878482,0.157375,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=3),DBP,7.644155,0.354954,0.744403,10.533100,45.306477,73.327025,87.171218,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m1,3,0.149597,0.014978,0.614645,0.077345,1.117004,1.143114,0.476704,6.622840,0.143478,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=5),SBP,12.540940,0.417936,1.139023,16.742572,28.772740,52.048395,68.709011,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m1,5,0.214380,0.019362,0.729579,0.275207,0.470538,0.632355,0.748007,11.318019,0.143024,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M1 M0 + FiLM (K=5),DBP,7.378602,0.388748,0.618864,10.261421,47.009579,74.725580,87.950446,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m1,5,0.110350,0.008577,0.579060,0.046564,0.979123,0.829885,0.310795,6.295362,0.119259,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=1),SBP,13.835506,0.314127,1.045830,18.189104,25.483952,47.417635,64.188135,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m2,1,0.149889,0.016747,0.725810,0.249908,0.423217,0.363966,0.248161,13.064363,0.085638,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=1),DBP,8.141873,0.286015,0.864151,11.084551,42.165811,70.058901,85.598277,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m2,1,0.095750,0.015089,0.406885,0.112215,0.763542,0.538981,0.215929,7.402483,0.090311,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=2),SBP,13.447798,0.342100,1.522623,17.777479,26.317639,48.954270,65.768607,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m2,2,0.114444,0.013975,0.752258,0.227461,0.439478,0.483489,0.153040,12.398167,0.143290,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=2),DBP,7.905383,0.315862,0.952549,10.842011,43.775443,71.781121,86.429068,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m2,2,0.074835,0.009075,0.389368,0.081029,0.991629,0.564714,0.092708,6.883999,0.121717,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=3),SBP,13.071193,0.376088,1.437636,17.316016,27.045305,50.075316,66.946622,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m2,3,0.104986,0.011756,0.740152,0.192631,0.413765,0.546802,0.241478,12.001881,0.139655,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=3),DBP,7.717254,0.345247,0.909920,10.608077,44.731567,72.818740,87.037581,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m2,3,0.069431,0.008835,0.393909,0.089739,0.973101,0.541891,0.132930,6.663054,0.111887,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=5),SBP,12.623574,0.407276,1.278938,16.889612,28.762697,51.987756,68.645475,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=0, D=5)",m2,5,0.113152,0.010741,0.658093,0.168906,0.349790,0.408448,0.262386,11.331492,0.128249,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
M2 M1 + reliability weighting (K=5),DBP,7.490090,0.373009,0.765743,10.392702,46.405315,74.063188,87.577923,FAIL* (0/5 seeds pass),"FAIL* (0/5 seeds pass; A=0, B=0, C=5, D=0)",m2,5,0.057714,0.006872,0.314743,0.070126,0.815606,0.515736,0.140700,6.336369,0.086899,5,697,103564,mean across seed-specific event-pooled diagnostics,numerical screen only; formal compliance not established
