candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
runet_resunet_encoder_adaptation,population_regression,runet_resunet_encoder_adaptation,chronological_blocked,20260828,Overall,2051,82040,9.723010063171388,5.8998188972473145,7.8114142417907715,-0.3867891132831573,-0.463735967874527,13.588106155395508,5.331664562225342
patch_transformer,population_regression,patch_transformer,chronological_blocked,20260828,Overall,2051,82040,10.231695175170898,6.287960529327393,8.259827613830566,0.0288775898516178,-0.533969521522522,14.177520751953123,5.719550132751465
cnn_bilstm_adaptation,population_regression,cnn_bilstm_adaptation,chronological_blocked,20260828,Overall,2051,82040,10.632095336914062,6.3569207191467285,8.4945068359375,0.482961893081665,-0.2059615403413772,14.574747085571287,5.884453773498535
cnn_transformer_aff_adaptation,population_regression,cnn_transformer_aff_adaptation,chronological_blocked,20260828,Overall,2051,82040,10.740991592407228,6.559291839599609,8.650141716003418,0.3758158981800079,-0.3175262212753296,14.79665184020996,6.011639595031738
subject_mean_residual_ppg,subject_mean_residual,resnet_small,chronological_blocked,20260828,VitalDB,1040,41600,8.621330261230469,4.873045921325684,6.747187614440918,-0.2126415818929672,-0.442443311214447,11.552183151245115,4.687903881072998
inception_time_wide,population_regression,inception_time_wide,chronological_blocked,20260828,VitalDB,1040,41600,9.681578636169434,6.242679595947266,7.96212911605835,-0.2148879021406173,-0.6094523072242737,13.449408531188965,5.610437870025635
subject_train_mean,analysis_baseline,,chronological_blocked,20260828,VitalDB,1040,41600,10.375702597137714,5.705030014364883,8.0403663057513,-0.6345862208205652,-0.6245983292839239,14.220099695373888,5.391909138770188
self_attention_resunet_adaptation,population_regression,self_attention_resunet_adaptation,chronological_blocked,20260828,VitalDB,1040,41600,9.8151216506958,6.341963291168213,8.07854175567627,0.2047058790922165,-0.0971486791968345,13.32706356048584,5.8291754722595215
runet_resunet_encoder_adaptation,population_regression,runet_resunet_encoder_adaptation,chronological_blocked,20260828,VitalDB,1040,41600,10.021728515625,6.461552619934082,8.241640090942383,-0.5649608373641968,-0.8546715378761292,13.799324035644531,5.859776020050049
compact_resnet,population_regression,resnet_small,chronological_blocked,20260828,VitalDB,1040,41600,10.037622451782228,6.49717378616333,8.2673978805542,0.958916187286377,-0.103661298751831,13.64694118499756,5.961879253387451
patch_transformer,population_regression,patch_transformer,chronological_blocked,20260828,VitalDB,1040,41600,10.419695854187012,6.87794828414917,8.648822784423828,-0.2162307947874069,-0.8443988561630249,14.261784553527832,6.24326753616333
cnn_bilstm_adaptation,population_regression,cnn_bilstm_adaptation,chronological_blocked,20260828,VitalDB,1040,41600,10.73397731781006,6.841400146484375,8.787689208984375,0.5441235303878784,-0.3239787518978119,14.568622589111328,6.310147285461426
cnn_transformer_aff_adaptation,population_regression,cnn_transformer_aff_adaptation,chronological_blocked,20260828,VitalDB,1040,41600,10.890414237976074,7.107612133026123,8.99901294708252,0.0455093681812286,-0.9075018167495728,14.76944065093994,6.525972843170166
subject_mean_residual_ppg,subject_mean_residual,resnet_small,random_disjoint,20260828,MIMIC,1011,40440,7.669912338256836,4.132405757904053,5.901158332824707,0.4491835534572601,-0.1014858558773994,8.533221244812012,4.7694091796875
